대여시간,이용시간,이동거리
18.0,1187453.0,138549461.96
17.0,1080866.0,120786429.67
8.0,729099.0,100251602.34
16.0,924480.0,96312606.13
15.0,805270.0,78528973.65
19.0,694889.0,73671213.92
14.0,739922.0,70333490.58
13.0,700620.0,66967999.93
12.0,680131.0,63164515.28
7.0,436097.0,61448182.98
20.0,550852.0,59841437.84
9.0,495234.0,54752237.39
11.0,641593.0,54590553.24
21.0,452202.0,53404559.51
10.0,456911.0,44622255.47
22.0,346967.0,43952042.36
23.0,214323.0,28225783.23
0.0,193558.0,26282625.65
6.0,195321.0,23217932.53
1.0,144387.0,19874866.52
2.0,141054.0,19381978.51
5.0,109570.0,12852096.3
3.0,88637.0,12474074.83
4.0,60943.0,8100461.56
